Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1964,85,m,4930,2283,2647,1879,27504,2348,2289,27523.666666666668
1965,85,f,8011,3980,4031,1880,60919,3821,4471,60702.333333333336
1965,85,m,4518,2307,2211,1880,26604,2283,2647,26482.666666666668
1966,85,f,8676,4092,4584,1881,64539,3980,4031,64522
1966,85,m,4674,2244,2430,1881,27861,2307,2211,27893
1967,85,f,9203,4335,4868,1882,67216,4092,4584,67052
1967,85,m,4988,2393,2595,1882,28133,2244,2430,28071
1968,85,f,8803,4374,4429,1883,67498,4335,4868,67320.33333333333
1968,85,m,4694,2318,2376,1883,28196,2393,2595,28128.666666666668
1969,85,f,9329,4697,4632,1884,70460,4374,4429,70441.66666666667
1969,85,m,4986,2562,2424,1884,29226,2318,2376,29206.666666666668
1970,85,f,9378,4444,4934,1885,72113,4697,4632,72134.66666666667
1970,85,m,4925,2400,2525,1885,29699,2562,2424,29745
1971,85,f,9106,4514,4592,1886,72705,4444,4934,72541.66666666667
1971,85,m,4880,2543,2337,1886,29193,2400,2525,29151.333333333332
1972,85,f,9641,4586,5055,1887,75516,4514,4592,75490
1972,85,m,5162,2467,2695,1887,30401,2543,2337,30469.666666666668
1973,85,f,9292,4720,4572,1888,77297,4586,5055,77140.66666666667
1973,85,m,4853,2504,2349,1888,30794,2467,2695,30718
1974,85,f,9853,4899,4954,1889,79276,4720,4572,79325.33333333333
1974,85,m,5288,2654,2634,1889,31178,2504,2349,31229.666666666668
1975,85,f,9589,4778,4811,1890,78044,4899,4954,78025.66666666667
1975,85,m,4931,2546,2385,1890,30133,2654,2634,30139.666666666668
1976,85,f,9490,4799,4691,1891,82682,4778,4811,82671
1976,85,m,4864,2503,2361,1891,31516,2546,2385,31569.666666666668
1977,85,f,9607,4690,4917,1892,83056,4799,4691,83092
1977,85,m,4761,2276,2485,1892,30439,2503,2361,30486.333333333332
1978,85,f,10060,4939,5121,1893,89633,4690,4917,89557.33333333333
