Year,Age,Sex,Deaths,TL_Deaths,TU_Deaths_Next_Year,Cohort,Country,Population,TL_Deaths_Prev_Year,TU_Deaths_Same_Year,Exposure
1932,98,m,1,0,1,1834,fin,1,2,0,1.6666666666666665
1933,98,f,22,13,9,1835,swe,50,11,8,51
1933,98,m,18,9,9,1835,swe,40,5,10,38.333333333333336
1933,98,f,4.0005241275098955,2.000261273971887,2.0002628535380085,1835,dnk,12.00177622992911,3.0003779384716167,8.001045095887548,10.334887177457134
1933,98,m,6.000786981047904,2.000261273971887,4.000525707076017,1835,dnk,8.001049834585913,1.0001259794905388,0,8.334425161082759
1933,98,f,4,2,2,1835,fin,4,2,2,4
1933,98,m,2,1,1,1835,fin,2,0,1,1.6666666666666667
1934,98,f,29,16,13,1836,swe,55,13,9,56.333333333333336
1934,98,m,21,8,13,1836,swe,29,9,9,29
1934,98,f,10.001474818303787,6.000788560614025,4.000686257689763,1836,dnk,13.001915727533923,2.000261273971887,2.0002628535380085,13.001915201011883
1934,98,m,3.000434417960449,2.0002628535380085,1.0001715644224407,1836,dnk,4.000532198345704,2.000261273971887,4.000525707076017,3.3337773873109944
1934,98,f,3,2,1,1836,fin,3,2,2,3
1935,98,f,31,17,14,1837,swe,58,16,13,59
1935,98,m,15,8,7,1837,swe,30,8,13,28.333333333333332
1935,98,f,10.001272940001291,4.000686257689763,6.000586682311528,1837,dnk,17.00225890471615,6.000788560614025,4.000686257689763,17.66895967235757
1935,98,m,5.0007102540378305,3.0005146932673217,2.0001955607705093,1837,dnk,7.001056565817379,2.0002628535380085,1.0001715644224407,7.334420328855901
1935,98,f,7,4,3,1837,fin,9,2,1,9.333333333333334
1936,98,f,25,12,13,1838,swe,49,17,14,50
1936,98,m,8,5,3,1838,swe,20,8,7,20.333333333333332
1936,98,f,8.000932994091077,6.000586682311528,2.000346311779548,1838,dnk,13.001970833378053,4.000686257689763,6.000586682311528,12.33533735850413
1936,98,m,4.000466497045538,3.000293341155764,1.000173155889774,1838,dnk,6.000812808825087,3.0005146932673217,2.0001955607705093,6.334252519657357
1936,98,f,4,3,1,1838,fin,7,4,3,7.333333333333333
1937,98,f,25,11,14,1839,swe,58,12,13,57.666666666666664
1937,98,m,11,3,8,1839,swe,21,5,3,21.666666666666668
1937,98,f,8.001672013515034,3.0005194676693216,5.001152545845713,1839,dnk,12.002652337023001,6.000586682311528,2.000346311779548,13.336065793866995
1937,98,m,3.0006341742280593,1.000173155889774,2.000461018338285,1839,dnk,7.001643641151727,3.000293341155764,1.000173155889774,7.668350369573724
1937,98,f,6,2,4,1839,fin,9.202288266934088,3,1,9.868954933600754
1938,98,f,21,7,14,1840,swe,51,11,14,50
1938,98,m,11,7,4,1840,swe,24,3,8,22.333333333333332
1938,98,f,6.001470485261953,3.0006915275074277,3.0007789577545245,1840,dnk,16.00577562491709,3.0005194676693216,5.001152545845713,15.338897932191625
1938,98,m,6.001441341846253,4.00092203667657,2.000519305169683,1840,dnk,10.003212215245643,1.000173155889774,2.000461018338285,9.669782927762807
1938,98,f,3.1011441334670393,2,1.1011441334670393,1840,fin,6.303432400401128,2,4,5.636765733734461
1939,98,f,19,7,12,1841,swe,40,7,14,37.666666666666664
1939,98,m,11,4,7,1841,swe,29,7,4,30
1939,98,f,9.003557311696946,4.001038610339366,5.00251870135758,1841,dnk,14.00557227278301,3.0006915275074277,3.0007789577545245,14.005543129367311
1939,98,m,5.002030525984231,2.000519305169683,3.001511220814548,1841,dnk,7.002534266255747,4.00092203667657,2.000519305169683,7.669335176758043
1939,98,f,4.10114413346704,1.1011441334670393,3,1841,fin,6.8554020410096195,2,1.1011441334670393,7.155020663187273
1940,98,f,24,13,11,1842,swe,45,7,12,43.333333333333336
1940,98,m,9,3,6,1842,swe,19,4,7,18
1940,98,f,3.0005037402715162,1.000503740271516,2,1842,dnk,13.000503740271515,4.001038610339366,5.00251870135758,12.666677043265445
1940,98,m,3.001007480543032,2.001007480543032,1,1842,dnk,6.0010074805430325,2.000519305169683,3.001511220814548,5.667343508661411
1941,98,f,18,8,10,1843,swe,44.00415319433605,13,11,44.67081986100271
1941,98,m,14,5,9,1843,swe,24,3,6,23
1941,98,f,8,2,6,1843,dnk,23,1.000503740271516,2,22.666834580090505
1941,98,m,3,2,1,1843,dnk,9,2.001007480543032,1,9.33366916018101
1941,98,f,4.23295454545455,3.23295454545455,1,1843,fin,4.23295454545455,1.1011441334670393,3,3.6000025899435633
1942,98,f,27,14,13,1844,swe,62.00622979150407,8,10,61.339563124837404
1942,98,m,14,6,8,1844,swe,22.004153194336048,5,9,20.670819861002716
1942,98,f,8,5,3,1844,dnk,24,2,6,22.666666666666668
1942,98,m,3,3,0,1844,dnk,7,2,1,7.333333333333333
1942,98,m,2.16770186335404,1.16770186335404,1,1844,fin,2.16770186335404,1,1,2.16770186335404
1943,98,f,30,17,13,1845,swe,68.01245958300814,14,13,68.34579291634147
1943,98,m,13,6,7,1845,swe,25.01245958300814,6,8,24.345792916341473
1943,98,f,11,7,4,1845,dnk,22,5,3,22.666666666666668
1943,98,m,3,1,2,1845,dnk,6,3,0,7
1943,98,f,5.14080459770115,1.14080459770115,4,1845,fin,7.20050609023846,3.23295454545455,1,7.9448242720566435
1943,98,m,2.4100719424460397,1.41007194244604,1,1845,fin,2.4100719424460397,1.16770186335404,1,2.465972563564053
1944,98,f,13.018689374512208,4,9.018689374512208,1846,swe,37.0269957631843,17,13,38.36032909651764
1944,98,m,14.014536180176162,7,7.0145361801761625,1846,swe,26.02076597168023,6,7,25.6874326383469
1944,98,f,9,2,7,1846,dnk,14,7,4,15
1944,98,m,1,0,1,1846,dnk,8,1,2,7.666666666666667
1944,98,f,6.23880597014925,4.23880597014925,2,1846,fin,6.23880597014925,1.14080459770115,4,5.285740836049634
1945,98,f,24.020765971680234,10.020765971680232,14,1847,swe,55.020765971680234,4,9.018689374512208,53.3478695135095
1945,98,m,16.01453618017616,7.0145361801761625,9,1847,swe,29.01453618017616,7,7.0145361801761625,29.00969078678411
1945,98,f,4,2,2,1847,dnk,12,2,7,10.333333333333334
1945,98,m,2,1,1,1847,dnk,12,0,1,11.666666666666666
1945,98,f,4.73087818696884,2.73087818696884,2,1847,fin,7.89436592538846,4.23880597014925,2,8.640634582104877
1946,98,f,31,13,18,1848,swe,61,10.020765971680232,14,59.673588657226745
1946,98,m,15,9,6,1848,swe,28,7.0145361801761625,9,27.33817872672539
1946,98,f,11,5,6,1848,dnk,19,2,2,19
1946,98,m,6,4,2,1848,dnk,12,1,1,12
1946,98,f,5.1634877384196205,2.16348773841962,3,1848,fin,5.1634877384196205,2.73087818696884,2,5.407113800742567
1947,98,f,18,7,11,1849,swe,56,13,18,54.333333333333336
1947,98,m,8,5,3,1849,swe,18,9,6,19
1947,98,f,6,5,1,1849,dnk,18,5,6,17.666666666666668
1947,98,m,4,2,2,1849,dnk,8,4,2,8.666666666666666
1947,98,f,4.77188328912467,3.77188328912467,1,1849,fin,7.15188328912467,2.16348773841962,3,6.873045868597877
1948,98,f,31,15,16,1850,swe,69,7,11,67.66666666666667
1948,98,m,16,7,9,1850,swe,24,5,3,24.666666666666668
1948,98,f,6,3,3,1850,dnk,18,5,1,19.333333333333332
1948,98,m,3,1,2,1850,dnk,11,2,2,11
1949,98,f,32,15,17,1851,swe,80,15,16,79.66666666666667
1949,98,m,14,10,4,1851,swe,32,7,9,31.333333333333332
1949,98,f,12,7,5,1851,dnk,21,3,3,21
1949,98,m,5,3,2,1851,dnk,13,1,2,12.666666666666666
1949,98,f,4.15042372881356,1.15042372881356,3,1851,fin,12.308665487055318,3.77188328912467,1,13.232626583430209
1950,98,f,24,14,10,1852,swe,56,15,17,55.333333333333336
1950,98,m,12,3,9,1852,swe,20,10,4,22
1950,98,f,13,6,7,1852,dnk,29,7,5,29.666666666666668
1950,98,m,7,6,1,1852,dnk,15,3,2,15.333333333333334
