Year,Sex,Age,AgeInterval,Lexis,Deaths
1769,f,30,5,RR,845
1769,f,35,5,RR,693
1769,f,40,5,RR,891
1769,f,45,5,RR,772
1769,f,50,5,RR,817
1769,f,55,5,RR,865
1769,f,60,5,RR,1114
1769,f,65,5,RR,1415
1769,f,70,5,RR,1461
1769,f,75,5,RR,1087
1769,f,80,5,RR,983
1769,f,85,5,RR,478
1769,f,90,+,RR,250
1769,m,0,1,RR,7593
1769,m,1,2,RR,3282
1769,m,3,2,RR,1785
1769,m,5,5,RR,1734
1769,m,10,5,RR,767
1769,m,15,5,RR,658
1769,m,20,5,RR,682
1769,m,25,5,RR,690
1769,m,30,5,RR,723
1769,m,35,5,RR,724
1769,m,40,5,RR,831
1769,m,45,5,RR,823
1769,m,50,5,RR,870
1769,m,55,5,RR,801
1769,m,60,5,RR,996
1769,m,65,5,RR,1205
1769,m,70,5,RR,979
1769,m,75,5,RR,768
1769,m,80,5,RR,643
1769,m,85,5,RR,355
1769,m,90,+,RR,138
1770,f,0,1,RR,6671
1770,f,1,2,RR,2689
1770,f,3,2,RR,1273
1770,f,5,5,RR,1210
1770,f,10,5,RR,626
1770,f,15,5,RR,595
1770,f,20,5,RR,668
1770,f,25,5,RR,686
1770,f,30,5,RR,856
1770,f,35,5,RR,730
1770,f,40,5,RR,949
1770,f,45,5,RR,833
1770,f,50,5,RR,905
1770,f,55,5,RR,903
1770,f,60,5,RR,1282
1770,f,65,5,RR,1419
1770,f,70,5,RR,1566
1770,f,75,5,RR,1195
1770,f,80,5,RR,1096
1770,f,85,5,RR,560
1770,f,90,+,RR,196
1770,m,0,1,RR,7364
1770,m,1,2,RR,2707
1770,m,3,2,RR,1329
1770,m,5,5,RR,1318
1770,m,10,5,RR,776
1770,m,15,5,RR,641
1770,m,20,5,RR,729
1770,m,25,5,RR,717
1770,m,30,5,RR,749
1770,m,35,5,RR,744
1770,m,40,5,RR,920
1770,m,45,5,RR,849
1770,m,50,5,RR,925
1770,m,55,5,RR,905
1770,m,60,5,RR,1143
1770,m,65,5,RR,1191
1770,m,70,5,RR,1202
1770,m,75,5,RR,796
1770,m,80,5,RR,673
1770,m,85,5,RR,355
1770,m,90,+,RR,130
1771,f,0,1,RR,6529
1771,f,1,2,RR,2613
1771,f,3,2,RR,1177
1771,f,5,5,RR,1060
1771,f,10,5,RR,680
1771,f,15,5,RR,702
1771,f,20,5,RR,739
1771,f,25,5,RR,794
1771,f,30,5,RR,984
1771,f,35,5,RR,884
1771,f,40,5,RR,1091
1771,f,45,5,RR,970
1771,f,50,5,RR,1109
1771,f,55,5,RR,1049
1771,f,60,5,RR,1454
1771,f,65,5,RR,1664
1771,f,70,5,RR,1776
1771,f,75,5,RR,1304
1771,f,80,5,RR,1134
1771,f,85,5,RR,549
1771,f,90,+,RR,299
1771,m,0,1,RR,7385
1771,m,1,2,RR,2832
1771,m,3,2,RR,1243
1771,m,5,5,RR,1210
